number,id,category,title,description,L1,C1,mitigation,plan,L2,C2
11,SS-SYS-EPS-RISK-002,Electrical Power Subsystem,Electrical battery failure,"would result in non-nominal operations of the spacecraft during eclipse times (significant). This is, however, an unlikely scenario due to the high Technology Readiness Level (TRL) of the COTS energy storage devices. Furthermore, this can be controlled through parameters such as the Depth of Discharge (DoD) and prevented using redundancy.",Unlikely,Significant,no,,Unlikely,Significant
12,SS-SYS-EPS-RISK-003,Electrical Power Subsystem,Failure of solar arrays,"would result in a complete mission failure. Knowing that the solar arrays for the laser station are expected to very large compared to usual satellites, more deployment mechanisms are expected. According to \cite[p.8]{tafazoli2009study}, solar array failures are responsible for 49\% of failures of the power subsystem, 48\% of those in the first year, mainly due to mechanisms which can be prevented through careful testing. This risk is therefore unlikely, but severe, as \cite[p.8]{tafazoli2009study} outlines that in 45\% of the cases, such power failure results in a loss of mission. Additionally, solar panels degrade significantly in space, however, this risk is well known and can be controlled successfully from the experience of past missions.",Unlikely,Severe,yes,"shall be addressed by means of extensive testing as standard procedures suggest. However, it can further be mitigated through redundancy (reducing the consequence) and adding additional safety factors in the design (reducing the likelihood).",Very Unlikely,Significant
13,SS-SYS-EPS-RISK-004,Electrical Power Subsystem,EPS does not initialise,"would result in a complete mission failure as no power would be provided to any subsystem (the spacecraft is lost). This is, however, a very unlikely occurrence.",Very Unlikely,Severe,no,,Very Unlikely,Severe
14,SS-SYS-EPS-RISK-005,Electrical Power Subsystem,Failure of capacitors,"results in the loss of the ablation laser, since this is fully dependent on the capacitor discharge. The primary mission objective would be lost, but the secondary mission, related to debris detection, can continue. The likelihood of capacitor failure is low, since they are reliable and often used in spacecraft. The consequence would be significant, but not severe, as the spacecraft's other subsystems are still usable.",Very Unlikely,Significant,no,,Very Unlikely,Significant
15,SS-SYS-EPS-RISK-006,Electrical Power Subsystem,Solar panels not pointing directly at the Sun,Power requirements not being met during a period. low likelihood since SADAs with two DoF are used,Unlikely,Significant,no,,Unlikely,Significant
16,SS-SYS-EPS-RISK-007,Electrical Power Subsystem,Batteries or capacitors not fully charged during sunlight,Power requirements not being met during a period. Not very likely since BCRs and BDRs are used to ensure correct charging and discharging.,Unlikely,Significant,no,,Unlikely,Significant
17,SS-SYS-EPS-RISK-008,Electrical Power Subsystem,Voltage spikes too high,Sensitive components not receiving enough power or being damaged. Not too likely because a fully regulated bus is used.,Unlikely,Significant,no,,Unlikely,Significant
18,SS-SYS-EPS-RISK-009,Electrical Power Subsystem,Severe collision of debris fragments with solar array,Power requiments not met. Simulations show that collision with particles larger than 1 cm is very unlikely considering the solar array area and the time in orbit. ,Very Unlikely,Severe,no ,,Very Unlikely,Severe
19,SS-SYS-TMS-RISK-001,Thermal Subsystem,Overheating or overcooling of any subsystem,"can occur in the scenario of a failure of the thermal subsystem. Depending on the concerned subsystem, the severity could range from moderate to severe, as all components have specific temperature application ranges. Such failure is generally very unlikely as it rarely happens \cite[p.11]{tafazoli2009study}, however they are significant for a laser station due to the expected large amount of heat to be managed from the use of a laser.",Very Unlikely,Significant,no,,Very Unlikely,Significant
20,SS-SYS-TMS-RISK-002,Thermal Subsystem,Leakage of heat pipe systems,"A heat pipe grossly exceeding its operating temperature may rupture in an unlikely case, potentially spilling the working fluid on other components, in addition to losing its functionality permanently. In this event, the loss of a single heat pipe may mean failure to control the temperature of a spacecraft component and disabling it too.",Very Unlikely,Significant,no,,Very Unlikely,Significant
21,SS-SYS-TMS-RISK-003,Thermal Subsystem,Failure of variable conductance heat pipe heaters,"When the spacecraft is not under orbit conditions that represent a worst-case, or is in an advanced mission stage where laser pulses are not frequent anymore, the variable conductance heat pipes must be able to cut off heat transfer from the spacecraft inside to the radiators to avoid running below component minimum operating temperatures. Should a heat pipe's heater fail, the heat pipe can no longer restrict its operation, leading to rapid and uncontrolled loss of heat.",Unlikely,Significant,no,,Unlikely,Significant
22,SS-SYS-TMS-RISK-004,Thermal Subsystem,Degradation of thermal interface between heat sources / radiators to heat pipes,"The TMS heavily relies on a high-conduction interface between the radiators and heat pipes, as well as between heat pipes and components. Should the environment around the interface be unexpectedly hostile and degrade the interface more than expected, a bottleneck in heat conductance may be created.",Unlikely,Minor,no,,Unlikely,Minor
23,SS-SYS-STR-RISK-001,Structures Subsystem,Structural failure during launch,"results in the loss of structural integrity, which is significant as it can be mission-critical. NASA reported that this occurs in about 6\% of missions for small satellites, which is not very likely \cite{NASAFailures}.",Unlikely,Significant,no,,Unlikely,Significant
24,SS-SYS-STR-RISK-002,Structures Subsystem,Structural failure in orbit,"results in the loss of structural integrity, which is significant as it can be mission-critical. NASA reported that this occurs in about 6\% of missions for small satellites, which is not very likely. \cite{NASAFailures}",Very Unlikely,Significant,no,,Very Unlikely,Significant
25,SS-SYS-STR-RISK-003,Structures Subsystem,Material defects,"are generally not removable during manufacturing, since the defects are related to the internal structure of a material. This may happen if the half-fabricates are of insufficient quality and that this is not detected during inspection. The consequence may be a decrease in structural rigidity. However, only relatively small defects may be overseen by quality control, and these have little to no significant impact on the system performance.",Possible,Minor,no,,Possible,Minor
26,SS-SYS-STR-RISK-004,Structures Subsystem,Part manufacturing defects,"may occur if improper manufacturing is carried out. Because the system has a low product series, it is possible to perform quality control on every single component in the system. It is therefore very unlikely that defects are not detected. In case a defect is not detected, it can detrimental to the alignment of some components (e.g. a reaction wheel, making it more difficult to manoeuvre), or structural rigidity of the spacecraft (e.g. during the launch). Meaning that an undetected defect has a significant impact on the mission.",Very Unlikely,Significant,no,,Very Unlikely,Significant
27,SS-SYS-STR-RISK-005,Structures Subsystem,Assembly defects,"lead to separation of parts in operation, which has moderate structural consequences, especially during launch vibrations. Pointing accuracy of subsystems is also critical and requires a rigid spacecraft, although improper fastening is unlikely.",Unlikely,Significant,no,,Unlikely,Significant
28,SS-SYS-STR-RISK-006,Structures Subsystem,Failure of deployment mechanism,"mostly results in partial loss of spacecraft or loss of mission, or a negligible effect on the mission performance, according to \cite[p.5]{rivera2021study}. Meaning that the risk is severe (taking worst case scenario). Note that, while the solar arrays' deployment was already considered in SS-SYS-EPS-RISK-003, other mechanisms (such as the antenna deployment) can be as critical. Furthermore, \cite[p.3]{rivera2021study} shows that the number of failures due to mechanisms has significantly decreased with respect to the increasing number of launched spacecrafts (making the risk unlikely).",Unlikely,Severe,yes,same strategy as SS-SYS-EPS-RISK-003.,Very Unlikely,Significant
29,SS-SYS-PROP-RISK-001,Propulsion Subsystem,Propellant leakage,"may occur during operations, resulting in the propellant being exposed to vacuum. The propellant may interfere with other subsystems/electronics. It is likely that the majority of the propulsion subsystem will be COTS, drastically decreasing the likelihood of experiencing a leakage.",Very Unlikely,Moderate,no,,Very Unlikely,Moderate
30,SS-SYS-PROP-RISK-002,Propulsion Subsystem,Pressurant leakage,"may occur during operations, due to the vaccum of space. The decrease in pressure will affect the total amount of propellant that can be delivered to the thruster at the correct pressure. This will decrease the lifetime of the mission, since less correction burns can be performed. ",Very Unlikely,Severe,no,,Very Unlikely,Severe
31,SS-SYS-PROP-RISK-003,Propulsion Subsystem,(re-)Ignition failure,"is very unlikely in most spacecraft propulsion systems, since not all propulsion techniques need a separate ignition system. However, in case this risk is relevant to the spacecraft, the results will be significant, since propulsion a critical system for orbit maintenance and/or momentum dumping, thus decreasing the operational lifetime.",Very Unlikely,Severe,no,,Very Unlikely,Severe
32,SS-SYS-PROP-RISK-004,Propulsion Subsystem,Isolation valve failure,"failure of any isolation valve will result in either propellant, or pressurant not being able to flow. This will decrease the mission duration, since less propellant can be burned.",Very Unlikely,Severe,no,,Very Unlikely,Severe
33,SS-SYS-PROP-RISK-005,Propulsion Subsystem,Propellant filter failure,"failure of any filter can lead to contaminants flowing towards the thruster or propellant tanks. This can result in clogging of the system, resulting in complete failure of the propulsion subsystem.",Very Unlikely,Significant,no,,Very Unlikely,Significant
34,SS-SYS-CDHS-RISK-001,Command and Data Handling Subsystem,Failure of data storage module,"would result in the loss of all on-board data. Usually, the system stores data from the payload, thermal subsystem, ADCS, and general system health on board, and sends this data to the ground segment in batches. If the data storage module is permanently disfunctioning, it means that no data can be sent to Earth anymore. Without any information flow from the system to the ground control, the success of the mission cannot be guaranteed.",Very Unlikely,Severe,no,,Very Unlikely,Severe
35,SS-SYS-CDHS-RISK-002,Command and Data Handling Subsystem,Transceiver readouts are incorrectly converted,"may occur due to a coding error, which is easily avoidable through rigorous code verification. This would lead to a loss of data unless corrective conversion methods are adopted.",Unlikely,Minor,no,,Unlikely,Minor
36,SS-SYS-CDHS-RISK-003,Command and Data Handling Subsystem,Software malfunction,"is one of the most difficult problems to deal with, due to the complexity and size of software programs. Since software issues may be difficult to detect, and may have large consequences, this is a critical risk in any engineering project.",Possible,Significant,yes,"can be tackled through modularisation (to limit propagation), implementing fault detection containments and recovery mechanisms, and software redundancy (reducing the consequence).",Possible,Moderate
37,SS-SYS-CDHS-RISK-004,Command and Data Handling Subsystem,Bit flips,"A bit becomes a 1 from a 0 or a 0 from a 1, up to 10 a day occur due to radiation.",Very Likely,Moderate,yes,"save data at least 3 times, so at any point in time, the flipped data can be compared against 2 healthy sets",Very Likely,Minor
38,SS-SYS-CDHS-RISK-005,Command and Data Handling Subsystem,Processing power (throughput) underestimated,processing of lidar images / subsystems may be much heavier than expected,Very Unlikely,Severe,no,,Very Unlikely,Severe
39,SS-SYS-CDHS-RISK-006,Command and Data Handling Subsystem,Memory/storage capacity underestimated,"Storing images / data may be more difficult than expected, or be larger in size than expected (malfunctioning compression)",Very Unlikely,Severe,no,,Very Unlikely,Severe
40,SS-SYS-GNC-RISK-001,"Guidance, Navigation, and Control Subsystem",Failure of an attitude determination sensor,"may result in lack of knowledge of the spacecraft's attitude, and thus an inability to point the antenna (if any), solar panels, and the laser. It really depends on the type of attitude determination, though, as a gyroscope is significantly more likely to fail than a Sun sensor or star sensor. However, according to \cite[p.7]{tafazoli2009study}, those failures are around 10\% less critical than for other subsystems as redundancy can be used.",Unlikely,Significant,no,,Unlikely,Significant
41,SS-SYS-GNC-RISK-002,"Guidance, Navigation, and Control Subsystem",Failure of an attitude control actuator,"is more likely than a failure in attitude determination sensors, due to the often dynamic nature of attitude control actuators \cite[p.7]{tafazoli2009study}. The result is similar to a failure of attitude determination, since the system ends up unable to point itself.",Possible,Significant,yes,"can be made more reliable by introducing redundancy. This decreases the consequence, since one element of the subsystem can fail without obstructing nominal operations.",Unlikely,Moderate
42,SS-SYS-GNC-RISK-003,"Guidance, Navigation, and Control Subsystem",Interference of GNSS receivers with spacecraft,"is possible to occur according to \cite{tafazoli2009study}; it is generally more likely to occur than other subsystem failures, and results in a 30\% chance of a mission failure \cite{tafazoli2009study}.",Unlikely,Significant,no,same strategy as SS-SYS-GNC-RISK-002.,Unlikely,Significant
43,SS-SYS-GS-RISK-001,Ground System,Human error,"can occur in various forms; its consequence depends highly on the situation. Designs should always account for human error as it is somewhat inevitable, but risks prone to such error are not severe.",Very Likely,Moderate,yes,can be mitigated by a form of redundancy. No single person should be the only one to work on any element of the mission. The lead of a mission element shall ensure that quality control (checking the work of colleagues) is performed.,Possible,Moderate
44,SS-SYS-GS-RISK-002,Ground System,Failure in pointing of the GS antenna dish pointing,"is very unlikely due to the regular maintenance performed. Furthermore, it also has a minor impact on the mission, as it can quickly be repaired by the ground team.",Very Unlikely,Minor,no,,Very Unlikely,Minor
45,SS-SYS-PL-RISK-001,Payload Subsystem,Failure of debris detection system,could arise due to damage to the payload sensors or an error in the design. This is an unlikely event due to the extensive V\&V and certification procedures that are usually put in place in the design process. The consequence is severe for the laser method.,Unlikely,Significant,no,,Unlikely,Significant
46,SS-SYS-PL-RISK-002,Payload Subsystem,Mistaking an active satellite for a debris,"(or hitting an active satellite while aiming at a debris) is unlikely, given that ground-operations should check the target object when it exceeds a certain size. This event would result in drastic legal repercussions and failure of not just one, but two space missions.",Unlikely,Severe,yes,"at the start of the mission, the target orbit should be analysed by the ground segment to check whether any active satellites are present. In the case a satellite is present, the ground segment should monitor it and communicate the location of this satellite to the Space Sweeper spacecraft.",Very Unlikely,Severe
47,SS-SYS-PL-RISK-003,Payload Subsystem,Lower capability of debris removal than expected,"is possible due to the novel character of the mission and the low TRL of the concept, which is to be raised in the development process. There are however always some uncertainties when a particular function is performed for the first time, and the system might underperform. The consequence depends on the degree of underperformance, however. It is further noted that this type of consequence is of different nature than for other risks, as it directly impacts the capacity of the mission to perform its primary mission, rather than an activity supposed to sustain this primary objective. It is therefore more fundamental to mitigate than other risks.",Possible,Significant,yes,same strategy as SS-TL-MI-RISK-MR-COST-003.,Unlikely,Moderate
48,SS-SYS-PL-RISK-004,Payload Subsystem,Hacking,"may cause the laser to become a weapon aiming at the Earth to injure people on the ground, which could be coveted by hostile parties, yielding a risk of the spacecraft being hacked to misuse the Space Sweeper. This risk is considered severe it would result in a direct mission failure (unable to continue the clean-up mission), and could result in injuries and deaths of the people on the ground. It is, however, unlikely as security will be taken very seriously in the design.",Unlikely,Severe,yes,"is expected to be a significant risk for the mission due to its potential to become a weapon \footnotemark[1] to either take down satellites from enemies or harm people on the ground. This can be mitigated by putting cybersecurity on the forefront in the communication and software architectures and implementation (using encryption, physically protecting the GS, etc. \footnotemark[2]), which would reduce the likelihood. However, some cases of hacking of satellites occurred through vulnerabilities of computers used in the ground station, meaning that those should be subject to regular maintenance, and be up-to-date with respect to all relevant pieces of software. It is therefore also important that the ground team is aware of this risk. Furthermore, measures ensuring that the spacecraft enters the EoL procedure automatically if an illicit authentication is identified, can be implemented. Additionally, strong passwords to be changed regularly (similar to nuclear codes) should be used to enter any communication with the spacecraft.",Very Unlikely,Moderate
49,SS-SYS-PL-RISK-005,Payload Subsystem,Ground injuries,"could happen by accident (excluding hacking) in case the Earth enters the shooting angle of the laser while tracking a debris. In case ground injuries can be linked to the Space Sweeper, the operating institutions and the mission legitimacy could be put at risk (severe consequence). This is a possible occurrence, depending on the laser type and associated atmospheric attenuation.",Possible,Severe,yes,"can be prevented by avoided by turning the laser off if it detects the Earth in its shooting angle (dropping the likelihood to very unlikely). Another way to cope with the risk is to ensure that atmospheric dissipation is strong enough to render the laser harmless with respect to ground injuries, arguably reducing the severity of the injuries and therefore the consequence (to moderate), as the effects would hardly be noticed and traceable to the operating institutions.",Unlikely,Moderate
50,SS-TL-MI-RISK-ENV-001,Environmental Risks,Environmental Degradation of Hardware Components,"occurs in most satellite surfaces due to corrosion and damage from atomic oxygen in LEO, though this is not critical for this short lifetime mission.",Likely,Minor,no,,Likely,Minor
51,SS-TL-MI-RISK-ENV-002,Environmental Risks,Single event upset due to magnetic environment,"may affect the system's electronics. According to \cite{tafazoli2009study}, magnetic storms may occur. In case a system failure occurs due to the environment, it is due to a magnetic storm in 3\% of the cases \cite{tafazoli2009study}. The consequence is a single event effect, e.g., affecting single components in electronic systems. In case there is no solid failure detection system, these issues can have significant consequences.",Very Unlikely,Significant,no,,Very Unlikely,Significant
52,SS-TL-MI-RISK-ENV-003,Environmental Risks,Electrostatic (dis)charge due to electrical environment,", especially during the assembly, integration, and testing phases, may include the accumulation of electrostatic charge on the system. Once deployed, electrostatic discharge may occur, which can affect electronics and antennas \cite{mourra2008european}.",Possible,Significant,yes,"can occur due to improper assembly, integration and testing. One should remove accumulated charge from non-conductive components, or this could also be prevented by implementing electrical grounding in the design.",Very Unlikely,Significant
53,SS-TL-MI-RISK-ENV-004,Environmental Risks,Solar storms,"have similar effects as magnetic storms, namely causing single event effects \cite{tafazoli2009study}. The consequence is therefore the same as for magnetic storms, but the likelihood is higher. According to \cite{tafazoli2009study}, solar storms account for eight percent of all environment related failures.",Unlikely,Significant,no,,Unlikely,Significant
54,SS-TL-MI-RISK-ENV-005,Environmental Risks,System collision with debris,"is very likely, as the system will be launched in an orbit with high debris density. Furthermore, the consequence can be severe as the space debris originating from a collision or explosion are still large chunks right after the accident and the spacecraft is expected to have a large solar panel area.",Very Likely,Severe,yes,"it is uncommon to purposefully send a spacecraft to a debris-rich orbit, which makes this risk more challenging. However, this risk is very predictable, since it is known from the first day of the design that this will pose an issue for space-based designs. As long as this risk is given priority during the design phase, the likelihood that the design will not be able to withstand this situation reduces to possible (debris avoidance could also be implemented by design). By structurally shielding the spacecraft against debris, the consequence can be reduced to moderate, since the smaller debris particles have no significant consequence any more.",Possible,Moderate
